condition,metric,mean_diff,wilcoxon_p,t_test_p,cohens_d,wins(out of 5)
REAL_PLUS_NEAR,F,0.0961,0.0625,0.0219,1.629,5
REAL_PLUS_NEAR,accuracy,0.0871,0.0625,0.0,13.5105,5
REAL_PLUS_NEAR,AUC,-0.0131,0.125,0.0915,-0.9891,1
REAL_PLUS_NEAR,F1_DIR,0.0567,0.0625,0.0017,3.3443,5
REAL_PLUS_NEAR,F1_DM,0.0662,0.0625,0.0403,1.3373,5
REAL_PLUS_NEAR,F1_INTJ,0.1729,0.125,0.1176,0.8895,4
REAL_PLUS_NEAR,F1_AS,0.0886,0.625,0.3862,0.4346,3
REAL_PLUS_RANDOM,F,0.0759,0.0625,0.0257,1.5494,5
REAL_PLUS_RANDOM,accuracy,0.0612,0.0625,0.0002,6.2152,5
REAL_PLUS_RANDOM,AUC,-0.0096,0.3125,0.2788,-0.5599,1
REAL_PLUS_RANDOM,F1_DIR,0.0383,0.0625,0.0086,2.153,5
REAL_PLUS_RANDOM,F1_DM,0.0432,0.1875,0.2134,0.6611,4
REAL_PLUS_RANDOM,F1_INTJ,0.1407,0.125,0.0952,0.9729,4
REAL_PLUS_RANDOM,F1_AS,0.0815,0.625,0.4257,0.3962,3
REAL_PLUS_MIDDLE,F,0.0681,0.0625,0.0539,1.2092,5
REAL_PLUS_MIDDLE,accuracy,0.0729,0.0625,0.0001,7.4104,5
REAL_PLUS_MIDDLE,AUC,-0.0103,0.625,0.4729,-0.354,2
REAL_PLUS_MIDDLE,F1_DIR,0.0494,0.0625,0.0021,3.1558,5
REAL_PLUS_MIDDLE,F1_DM,0.0662,0.1875,0.1087,0.9204,4
REAL_PLUS_MIDDLE,F1_INTJ,0.0847,0.625,0.3155,0.5128,2
REAL_PLUS_MIDDLE,F1_AS,0.0719,0.625,0.4739,0.3532,3
REAL_PLUS_FAR,F,0.0707,0.0625,0.0237,1.5891,5
REAL_PLUS_FAR,accuracy,0.0682,0.0625,0.0006,4.4484,5
REAL_PLUS_FAR,AUC,-0.0337,0.1875,0.1648,-0.7593,1
REAL_PLUS_FAR,F1_DIR,0.0451,0.0625,0.0016,3.4115,5
REAL_PLUS_FAR,F1_DM,0.0631,0.0625,0.0073,2.2566,5
REAL_PLUS_FAR,F1_INTJ,0.0862,0.25,0.1077,0.9242,3
REAL_PLUS_FAR,F1_AS,0.0886,0.625,0.3862,0.4346,3
REAL_PLUS_DISTANCE_BALANCED,F,0.0942,0.0625,0.0038,2.702,5
REAL_PLUS_DISTANCE_BALANCED,accuracy,0.0918,0.0625,0.0004,4.7469,5
REAL_PLUS_DISTANCE_BALANCED,AUC,-0.0103,0.4375,0.5212,-0.3141,2
REAL_PLUS_DISTANCE_BALANCED,F1_DIR,0.066,0.0625,0.0029,2.9164,5
REAL_PLUS_DISTANCE_BALANCED,F1_DM,0.0883,0.125,0.0431,1.307,4
REAL_PLUS_DISTANCE_BALANCED,F1_INTJ,0.1473,0.25,0.1186,0.8861,3
REAL_PLUS_DISTANCE_BALANCED,F1_AS,0.0753,0.625,0.397,0.4238,3
